stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
de:08311:30105:0:5,,"Freiburg, Fahnenbergplatz",,47.998096,7.848203,,,0,Parent30105,,0,
de:08311:30105:0:6,,"Freiburg, Fahnenbergplatz",,47.998058,7.848132,,,0,Parent30105,,0,
de:08311:30106:1:1,,"Freiburg, Stadttheater",,47.995602,7.845086,,,0,Parent30106,,0,
de:08311:30106:1:2,,"Freiburg, Stadttheater",,47.995506,7.845392,,,0,Parent30106,,0,
de:08311:30106:1:6,,"Freiburg, Stadttheater",,47.995689,7.846074,,,0,Parent30106,,0,
de:08311:30106:1:7,,"Freiburg, Stadttheater",,47.995663,7.846003,,,0,Parent30106,,0,
de:08311:30108:1:3,,"Freiburg, Eschholzstraße",,47.99844,7.836094,,,0,Parent30108,,0,
de:08311:30108:2:1,,"Freiburg, Eschholzstraße",,47.998085,7.836444,,,0,Parent30108,,0,
de:08311:30108:2:2,,"Freiburg, Eschholzstraße",,47.99789,7.836849,,,0,Parent30108,,0,
de:08311:30108:2:4,,"Freiburg, Eschholzstraße",,47.998043,7.83595,,,0,Parent30108,,0,
de:08311:30109:0:1,,"Freiburg, Kreuzstraße",,48.001682,7.841816,,,0,Parent30109,,0,
de:08311:30109:0:2,,"Freiburg, Kreuzstraße",,48.001553,7.841933,,,0,Parent30109,,0,
de:08311:30112:0:1,,"Freiburg, Faulerstraße",,47.993099,7.839058,,,0,Parent30112,,0,
de:08311:30112:0:2,,"Freiburg, Faulerstraße",,47.992535,7.838403,,,0,Parent30112,,0,
de:08311:30114:0:1,,"Freiburg, Erbprinzenstraße",,47.992512,7.845293,,,0,Parent30114,,0,
de:08311:30114:0:2,,"Freiburg, Erbprinzenstraße",,47.992607,7.845338,,,0,Parent30114,,0,
de:08311:30115:0:1,,"Freiburg, Stadtgarten",,47.997952,7.856333,,,0,Parent30115,,0,
de:08311:30115:0:2,,"Freiburg, Stadtgarten",,47.997856,7.856405,,,0,Parent30115,,0,
