service_id,date,exception_type
"T0","20220106","2"
"T0","20220415","2"
"T0","20220418","2"
"T0","20220526","2"
"T0","20220606","2"
"T0","20220616","2"
"T0","20221003","2"
"T0","20221101","2"
"T0+0S","20211213","2"
"T0+0S","20211214","2"
"T0+0S","20211215","2"
"T0+0S","20211216","2"
"T0+0S","20211220","2"
"T0+0S","20211221","2"
"T0+0S","20211222","2"
"T0+0S","20211223","2"
"T0+0S","20211227","2"
"T0+0S","20211228","2"
"T0+0S","20211229","2"
"T0+0S","20211230","2"
"T0+0S","20220103","2"
"T0+0S","20220104","2"
"T0+0S","20220105","2"
"T0+0S","20220106","2"
"T0+0S","20220110","2"
"T0+0S","20220111","2"
"T0+0S","20220112","2"
"T0+0S","20220113","2"
"T0+0S","20220117","2"
"T0+0S","20220118","2"
"T0+0S","20220119","2"
"T0+0S","20220120","2"
"T0+0S","20220124","2"
"T0+0S","20220125","2"
"T0+0S","20220126","2"
"T0+0S","20220127","2"
"T0+0S","20220131","2"
"T0+0S","20220201","2"
"T0+0S","20220202","2"
"T0+0S","20220203","2"
"T0+0S","20220207","2"
"T0+0S","20220208","2"
"T0+0S","20220209","2"
"T0+0S","20220210","2"
"T0+0S","20220214","2"
"T0+0S","20220215","2"
"T0+0S","20220216","2"
"T0+0S","20220217","2"
"T0+0S","20220221","2"
"T0+0S","20220222","2"
"T0+0S","20220223","2"
"T0+0S","20220224","2"
"T0+0S","20220228","2"
"T0+0S","20220301","2"
"T0+0S","20220302","2"
"T0+0S","20220303","2"
"T0+0S","20220307","2"
"T0+0S","20220308","2"
"T0+0S","20220309","2"
"T0+0S","20220310","2"
"T0+0S","20220314","2"
"T0+0S","20220315","2"
"T0+0S","20220316","2"
"T0+0S","20220317","2"
"T0+0S","20220411","2"
"T0+0S","20220412","2"
"T0+0S","20220413","2"
"T0+0S","20220414","2"
"T0+0S","20220418","2"
"T0+0S","20220419","2"
"T0+0S","20220420","2"
"T0+0S","20220421","2"
"T0+0S","20220425","2"
"T0+0S","20220426","2"
